seed,outcome,success,episode_length,total_reward,detected,detection_time,intercept_time,min_enemy_soldier_dist,min_defender_enemy_dist,final_enemy_soldier_dist,final_defender_enemy_dist,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius
0,intercepted,1,14,279.54785,1,10,14,6.850677,1.2831581,6.850677,1.2831581,12.0,18.0,15.0,2.5,2.0
1,soldier_caught,0,22,189.4942,1,12,-1,0.8273141,3.5029294,0.8273141,3.5029294,12.0,18.0,15.0,2.5,2.0
2,soldier_caught,0,22,121.98483,1,10,-1,1.9001012,3.059886,1.9001012,7.440532,12.0,18.0,15.0,2.5,2.0
3,soldier_caught,0,13,113.10768,1,9,-1,1.8347726,5.9500628,1.8347726,8.884069,12.0,18.0,15.0,2.5,2.0
4,soldier_caught,0,26,67.14415,1,14,-1,1.6601462,4.395221,1.6601462,9.8522625,12.0,18.0,15.0,2.5,2.0
5,intercepted,1,32,299.19174,1,11,32,2.397998,0.9627613,5.5521436,0.9627613,12.0,18.0,15.0,2.5,2.0
6,soldier_caught,0,13,105.56354,1,10,-1,1.8410249,5.6768026,1.8410249,5.715665,12.0,18.0,15.0,2.5,2.0
7,intercepted,1,20,315.34384,1,12,20,2.013792,1.4215043,4.46751,1.4215043,12.0,18.0,15.0,2.5,2.0
8,intercepted,1,15,408.4137,1,12,15,8.335613,0.8862176,10.244365,0.8862176,12.0,18.0,15.0,2.5,2.0
9,soldier_caught,0,14,151.21722,1,10,-1,1.9628491,2.8743906,1.9628491,8.030209,12.0,18.0,15.0,2.5,2.0
10,unsafe_intercept,0,27,24.364014,1,8,-1,2.2642453,2.452362,2.2642453,2.452362,12.0,18.0,15.0,2.5,2.0
11,intercepted,1,13,248.82881,1,12,13,6.5241723,2.3118622,6.5241723,2.3118622,12.0,18.0,15.0,2.5,2.0
12,intercepted,1,23,365.12653,1,14,23,4.8139024,1.9094107,8.037542,1.9094107,12.0,18.0,15.0,2.5,2.0
13,soldier_caught,0,20,131.50244,1,16,-1,1.846392,4.4848433,1.846392,8.079433,12.0,18.0,15.0,2.5,2.0
14,soldier_caught,0,11,71.99451,1,8,-1,1.8982773,5.5422907,1.8982773,6.2090898,12.0,18.0,15.0,2.5,2.0
15,soldier_caught,0,17,121.02051,1,13,-1,1.7008288,3.6982372,1.7008288,5.6499047,12.0,18.0,15.0,2.5,2.0
16,soldier_caught,0,21,73.79088,1,10,-1,0.9368945,3.7657943,0.9368945,5.9578404,12.0,18.0,15.0,2.5,2.0
17,soldier_caught,0,17,112.10698,1,9,-1,0.6809993,2.7710774,0.6809993,6.3854556,12.0,18.0,15.0,2.5,2.0
18,soldier_caught,0,19,99.53256,1,13,-1,1.4187804,5.285981,1.4187804,6.4976816,12.0,18.0,15.0,2.5,2.0
19,intercepted,1,19,301.36902,1,14,19,3.281865,0.7065102,4.1218033,0.7065102,12.0,18.0,15.0,2.5,2.0
20,unsafe_intercept,0,15,65.17386,1,8,-1,2.470913,0.3481374,2.470913,0.3481374,12.0,18.0,15.0,2.5,2.0
21,intercepted,1,13,327.94928,1,10,13,4.0091643,1.4387529,4.0091643,1.4387529,12.0,18.0,15.0,2.5,2.0
22,intercepted,1,15,355.78326,1,11,15,3.9066908,1.935263,5.181301,1.935263,12.0,18.0,15.0,2.5,2.0
23,soldier_caught,0,28,92.8685,1,10,-1,1.0490384,2.1736667,1.0490384,2.1736667,12.0,18.0,15.0,2.5,2.0
24,intercepted,1,8,276.76227,1,7,8,6.401523,1.5315323,6.401523,1.5315323,12.0,18.0,15.0,2.5,2.0
25,soldier_caught,0,15,158.43817,1,14,-1,1.0276468,3.3541298,1.0276468,3.3541298,12.0,18.0,15.0,2.5,2.0
26,intercepted,1,14,313.0373,1,10,14,8.41247,2.4115992,8.41247,2.4115992,12.0,18.0,15.0,2.5,2.0
27,soldier_caught,0,20,81.65939,1,10,-1,1.5240359,3.1385176,1.5240359,8.981959,12.0,18.0,15.0,2.5,2.0
28,soldier_caught,0,18,152.48236,1,12,-1,1.8513391,4.5339646,1.8513391,10.352505,12.0,18.0,15.0,2.5,2.0
29,intercepted,1,22,284.79575,1,7,22,2.1669781,1.7943239,5.112146,1.7943239,12.0,18.0,15.0,2.5,2.0
30,soldier_caught,0,12,114.726944,1,10,-1,1.4225085,5.4196415,1.4225085,9.767189,12.0,18.0,15.0,2.5,2.0
31,soldier_caught,0,18,130.38878,1,9,-1,1.8841782,3.3651671,1.8841782,4.362574,12.0,18.0,15.0,2.5,2.0
32,soldier_caught,0,24,110.56792,1,10,-1,1.6136215,2.571856,1.6136215,6.8367763,12.0,18.0,15.0,2.5,2.0
33,intercepted,1,12,317.8277,1,10,12,5.0093403,1.1418834,5.0093403,1.1418834,12.0,18.0,15.0,2.5,2.0
34,soldier_caught,0,18,125.89453,1,12,-1,0.37315482,2.749077,0.37315482,2.749077,12.0,18.0,15.0,2.5,2.0
35,soldier_caught,0,10,83.580246,1,9,-1,1.4747838,4.719653,1.4747838,4.719653,12.0,18.0,15.0,2.5,2.0
36,soldier_caught,0,22,62.259796,1,9,-1,0.99819374,2.5942762,0.99819374,6.642539,12.0,18.0,15.0,2.5,2.0
37,soldier_caught,0,14,118.36015,1,8,-1,0.12678899,3.731849,0.12678899,15.821541,12.0,18.0,15.0,2.5,2.0
38,soldier_caught,0,18,141.25568,1,14,-1,1.0131897,5.1876626,1.0131897,8.59063,12.0,18.0,15.0,2.5,2.0
39,soldier_caught,0,17,104.39441,1,8,-1,1.8490875,4.8814816,1.8490875,7.653487,12.0,18.0,15.0,2.5,2.0
40,soldier_caught,0,21,100.129456,1,13,-1,1.701873,3.0448637,1.701873,7.2400966,12.0,18.0,15.0,2.5,2.0
41,soldier_caught,0,16,139.58067,1,12,-1,1.0475762,4.449214,1.0475762,8.988397,12.0,18.0,15.0,2.5,2.0
42,soldier_caught,0,11,132.21515,1,9,-1,0.9473715,3.7786314,0.9473715,6.537508,12.0,18.0,15.0,2.5,2.0
43,intercepted,1,20,382.36887,1,18,20,5.3408947,1.9638786,5.3408947,1.9638786,12.0,18.0,15.0,2.5,2.0
44,soldier_caught,0,34,147.8094,1,8,-1,1.4353175,3.0038955,1.4353175,7.932015,12.0,18.0,15.0,2.5,2.0
45,soldier_caught,0,16,90.65291,1,8,-1,1.6770961,4.2228637,1.6770961,8.27673,12.0,18.0,15.0,2.5,2.0
46,soldier_caught,0,16,148.14847,1,11,-1,1.4683957,1.5782418,1.4683957,1.5782418,12.0,18.0,15.0,2.5,2.0
47,soldier_caught,0,14,61.866104,1,10,-1,1.9022613,4.6373167,1.9022613,8.172385,12.0,18.0,15.0,2.5,2.0
48,soldier_caught,0,20,114.29074,1,14,-1,1.1862006,3.9822311,1.1862006,11.043341,12.0,18.0,15.0,2.5,2.0
49,intercepted,1,22,296.568,1,9,22,2.8695242,1.7706468,3.940781,1.7706468,12.0,18.0,15.0,2.5,2.0
